0 [main] INFO org.apache.hadoop.yarn.client.api.impl.TimelineClientImpl  - Timeline service address: http://ip-172-31-52-6.ec2.internal:8188/ws/v1/timeline/
15 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-52-6.ec2.internal/172.31.52.6:8032
2251 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
2266 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
2269 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev cb482944667f96f43c89932dcb66d61ee7e4ac1d]
3124 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
3342 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1508721381536_0001
3914 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1508721381536_0001
4170 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-52-6.ec2.internal:20888/proxy/application_1508721381536_0001/
4171 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1508721381536_0001
15360 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1508721381536_0001 running in uber mode : false
15361 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 0% reduce 0%
48594 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 1% reduce 0%
57632 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 2% reduce 0%
64659 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 3% reduce 0%
70684 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 4% reduce 0%
76717 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 5% reduce 0%
81746 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 6% reduce 0%
87767 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 7% reduce 0%
92785 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 8% reduce 0%
97812 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 9% reduce 0%
101837 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 10% reduce 0%
107859 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 11% reduce 0%
112881 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 12% reduce 0%
117901 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 13% reduce 0%
123928 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 14% reduce 0%
128945 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 15% reduce 0%
132967 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 16% reduce 0%
137990 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 17% reduce 0%
141006 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 18% reduce 0%
144022 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 19% reduce 0%
148077 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 20% reduce 0%
153092 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 21% reduce 0%
159112 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 22% reduce 0%
162122 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 23% reduce 0%
164128 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 24% reduce 0%
168142 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 25% reduce 0%
174164 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 26% reduce 0%
178176 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 27% reduce 0%
181188 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 28% reduce 0%
184203 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 29% reduce 0%
188219 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 30% reduce 0%
191229 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 31% reduce 0%
195242 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 32% reduce 0%
197255 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 32% reduce 1%
199263 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 33% reduce 1%
202271 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 34% reduce 1%
206287 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 35% reduce 1%
209300 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 36% reduce 1%
211306 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 37% reduce 1%
214316 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 37% reduce 2%
217324 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 38% reduce 2%
221335 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 39% reduce 2%
227351 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 39% reduce 3%
229363 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 40% reduce 3%
236382 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 41% reduce 3%
240396 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 42% reduce 3%
245411 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 43% reduce 3%
247417 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 43% reduce 4%
252434 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 44% reduce 4%
258455 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 45% reduce 4%
262476 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 46% reduce 4%
267492 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 47% reduce 4%
272513 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 48% reduce 4%
277527 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 49% reduce 4%
283541 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 50% reduce 4%
288555 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 51% reduce 4%
296585 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 51% reduce 5%
297588 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 52% reduce 5%
303604 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 53% reduce 5%
309624 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 54% reduce 5%
311629 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 54% reduce 6%
313634 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 55% reduce 6%
315640 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 56% reduce 6%
319651 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 57% reduce 6%
321657 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 58% reduce 6%
323664 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 58% reduce 7%
326671 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 7%
328676 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 8%
329678 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 59% reduce 9%
338701 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 60% reduce 9%
350726 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 61% reduce 9%
357740 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 62% reduce 9%
364754 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 63% reduce 9%
370768 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 64% reduce 9%
374777 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 9%
375781 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 65% reduce 10%
385809 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 66% reduce 10%
391823 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 67% reduce 10%
397835 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 68% reduce 10%
400844 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 69% reduce 10%
409862 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 70% reduce 10%
418880 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 71% reduce 10%
425895 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 72% reduce 10%
431910 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 73% reduce 10%
432912 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 10%
434916 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 74% reduce 11%
439926 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 75% reduce 11%
446940 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 76% reduce 11%
454963 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 77% reduce 11%
462978 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 78% reduce 11%
469993 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 79% reduce 11%
477007 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 11%
478010 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 80% reduce 12%
480014 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 81% reduce 12%
488029 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 82% reduce 12%
495043 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 83% reduce 12%
499051 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 83% reduce 13%
503059 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 84% reduce 13%
509072 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 85% reduce 13%
519092 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 86% reduce 13%
529116 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 87% reduce 13%
534126 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 88% reduce 13%
